iter	Passed	Remaining
976	56177	173823
977	56234	173762
978	56292	173708
979	56347	173642
980	56411	173604
981	56473	173559
982	56532	173509
983	56595	173466
984	56656	173421
985	56718	173376
986	56774	173315
987	56836	173270
988	56900	173231
989	56970	173212
990	57031	173166
991	57085	173098
992	57154	173074
993	57225	173057
994	57281	172997
995	57338	172935
996	57404	172904
997	57469	172869
998	57530	172822
999	57586	172760
1000	57640	172692
1001	57712	172676
1002	57768	172614
1003	57834	172582
1004	57891	172523
1005	57951	172470
1006	58013	172428
1007	58086	172416
1008	58143	172355
1009	58204	172308
1010	58268	172271
1011	58330	172224
1012	58385	172158
1013	58451	172124
1014	58510	172072
1015	58568	172016
1016	58629	171969
1017	58685	171907
1018	58744	171851
1019	58804	171802
1020	58861	171741
1021	58928	171711
1022	58981	171641
1023	59045	171602
1024	59100	171535
1025	59155	171469
1026	59213	171414
1027	59280	171382
1028	59347	171352
1029	59399	171279
1030	59454	171212
1031	59521	171183
1032	59596	171175
1033	59661	171136
1034	59724	171093
1035	59785	171046
1036	59837	170972
1037	59896	170917
1038	59965	170894
1039	60022	170834
1040	60080	170777
1041	60142	170730
1042	60200	170673
1043	60257	170615
1044	60317	170563
1045	60375	170506
1046	60434	170451
1047	60493	170398
1048	60557	170357
1049	60618	170309
1050	60676	170252
1051	60741	170214
1052	60786	170120
1053	60837	170045
1054	60902	170008
1055	60966	169966
1056	61030	169927
1057	61098	169898
1058	61146	169813
1059	61209	169770
1060	61269	169717
1061	61331	169671
1062	61390	169617
1063	61450	169567
1064	61516	169532
1065	61571	169465
1066	61623	169393
1067	61686	169348
1068	61747	169299
1069	61804	169241
1070	61865	169190
1071	61920	169126
1072	61985	169088
1073	62037	169015
1074	62092	168949
1075	62152	168897
1076	62206	168828
1077	62268	168784
1078	62327	168729
1079	62385	168672
1080	62452	168637
1081	62518	168602
1082	62570	168529
1083	62630	168477
1084	62681	168401
1085	62735	168333
1086	62792	168274
1087	62847	168210
1088	62910	168166
1089	62964	168098
1090	63031	168064
1091	63123	168097
1092	63185	168052
1093	63254	168023
1094	63313	167969
1095	63384	167944
1096	63451	167913
1097	63521	167886
1098	63583	167840
1099	63642	167784
1100	63707	167746
1101	63780	167728
1102	63861	167729
1103	63929	167699
1104	64011	167703
1105	64070	167649
1106	64137	167614
1107	64194	167553
1108	64244	167476
1109	64301	167415
1110	64354	167346
1111	64417	167300
1112	64468	167223
1113	64529	167172
1114	64594	167133
1115	64643	167053
1116	64701	166995
1117	64763	166949
1118	64831	166916
1119	64890	166862
1120	64954	166818
1121	65013	166762
1122	65068	166697
1123	65132	166655
1124	65202	166629
1125	65266	166584
1126	65334	166554
1127	65391	166492
1128	65444	166422
1129	65491	166337
1130	65559	166304
1131	65621	166255
1132	65680	166200
1133	65746	166164
1134	65801	166097
1135	65860	166043
1136	65918	165984
1137	65973	165920
1138	66031	165862
1139	66084	165789
1140	66142	165732
1141	66203	165681
1142	66265	165635
1143	66321	165571
1144	66379	165513
1145	66445	165474
1146	66504	165421
1147	66556	165348
1148	66619	165302
1149	66673	165234
1150	66737	165192
1151	66797	165139
1152	66849	165064
1153	66913	165022
1154	66974	164972
1155	67037	164926
1156	67093	164862
1157	67157	164818
1158	67211	164753
1159	67270	164695
1160	67327	164636
1161	67392	164596
1162	67448	164531
1163	67500	164460
1164	67554	164392
1165	67619	164350
1166	67673	164284
1167	67729	164220
1168	67789	164166
1169	67841	164095
1170	67903	164047
1171	67955	163973
1172	68012	163913
1173	68068	163852
1174	68134	163813
1175	68188	163744
1176	68244	163683
1177	68297	163612
1178	68360	163566
1179	68423	163520
1180	68485	163472
1181	68542	163411
1182	68604	163363
1183	68663	163306
1184	68723	163254
1185	68783	163200
1186	68847	163157
1187	68910	163110
1188	68963	163041
1189	69017	162973
1190	69079	162924
1191	69129	162848
1192	69183	162782
1193	69240	162721
1194	69311	162694
1195	69379	162658
1196	69440	162608
1197	69502	162559
1198	69558	162497
1199	69617	162441
1200	69667	162363
1201	69721	162296
1202	69767	162211
1203	69827	162158
1204	69887	162104
1205	69941	162037
1206	69999	161978
1207	70056	161917
1208	70117	161867
1209	70171	161800
1210	70224	161731
1211	70283	161674
1212	70334	161600
1213	70391	161540
1214	70450	161485
1215	70502	161414
1216	70565	161366
1217	70627	161317
1218	70689	161270
1219	70743	161201
1220	70800	161142
1221	70857	161080
1222	70913	161018
1223	70967	160952
1224	71028	160902
1225	71094	160861
1226	71153	160806
1227	71203	160730
1228	71252	160650
1229	71303	160577
1230	71362	160521
1231	71415	160453
1232	71469	160385
1233	71528	160331
1234	71584	160269
1235	71647	160221
1236	71699	160150
1237	71756	160090
1238	71809	160020
1239	71873	159976
1240	71921	159895
1241	71986	159854
1242	72040	159786
1243	72098	159730
1244	72158	159677
1245	72219	159625
1246	72275	159563
1247	72329	159496
1248	72386	159434
1249	72438	159364
1250	72495	159304
1251	72543	159225
1252	72598	159161
1253	72653	159097
1254	72713	159043
1255	72774	158991
1256	72834	158937
1257	72888	158872
1258	72948	158818
1259	73005	158757
1260	73063	158699
1261	73116	158632
1262	73181	158589
1263	73241	158534
1264	73308	158496
1265	73361	158428
1266	73415	158362
1267	73473	158303
1268	73522	158226
1269	73584	158178
1270	73648	158132
1271	73696	158053
1272	73756	158000
1273	73815	157943
1274	73864	157866
1275	73927	157819
1276	73985	157762
1277	74052	157723
1278	74115	157676
1279	74179	157631
1280	74227	157551
1281	74286	157495
1282	74342	157435
1283	74399	157375
1284	74460	157323
1285	74522	157274
1286	74575	157205
1287	74636	157153
1288	74693	157094
1289	74745	157024
1290	74797	156953
1291	74857	156898
1292	74926	156865
1293	74988	156815
1294	75044	156752
1295	75094	156679
1296	75153	156623
1297	75204	156550
1298	75258	156484
1299	75311	156416
1300	75369	156359
1301	75435	156316
1302	75490	156253
1303	75554	156208
1304	75620	156166
1305	75672	156096
1306	75730	156038
1307	75789	155981
1308	75844	155918
1309	75903	155862
1310	75962	155806
1311	76019	155747
1312	76076	155687
1313	76134	155629
1314	76188	155564
1315	76249	155510
1316	76301	155441
1317	76362	155389
1318	76415	155321
1319	76478	155274
1320	76537	155219
1321	76595	155160
1322	76653	155102
1323	76702	155027
1324	76766	154980
1325	76833	154940
1326	76894	154890
1327	76946	154820
1328	76996	154746
1329	77053	154685
1330	77115	154637
1331	77166	154564
1332	77218	154494
1333	77276	154436
1334	77334	154379
1335	77399	154334
1336	77456	154275
